state_name,fidelity,fro_error
0,0.9995713019769572,0.02928132589358212
1,0.9999350126722544,0.011400642766583416
+,0.9999387612523897,0.011066955101547978
-,0.9991198295669457,0.04195641626863534
+i,0.9999787513545908,0.006518994617032583
0_depol0.1,0.9997872386905099,0.016507574019219158
0_ad0.2,0.9996952787915765,0.024686887548806328
1_depol0.1,0.9997247897709161,0.018801595676963
1_ad0.2,0.9993745716759119,0.030708305065568247
+_depol0.1,0.999257868735838,0.03456877203488712
+_ad0.2,0.9989152758626443,0.024536956964412156
-_depol0.1,0.9993965935888082,0.019570385790780655
-_ad0.2,0.9996566321312229,0.013992510392144587
+i_depol0.1,0.9994665801562705,0.03208582241426882
+i_ad0.2,0.9999414176315853,0.008685944282289621
